Time (s), Instantaneous Heart Rate, Average Heart Rate, Brady/Tachycardia Occurrence
1.0,0.0,calculating,B
2.0,0.0,calculating,B
3.0,0.0,calculating,B
4.0,0.0,calculating,B
5.0,0.0,calculating,B
6.0,0.0,calculating,B
7.0,0.0,calculating,B
8.0,8.57142857143,calculating,B
9.0,8.57142857143,calculating,B
10.0,30.0,calculating,B
11.0,30.0,calculating,B
12.0,30.0,calculating,B
13.0,30.0,calculating,B
14.0,30.0,calculating,B
15.0,30.0,calculating,B
16.0,30.0,calculating,B
17.0,30.0,calculating,B
18.0,30.0,calculating,B
19.0,30.0,calculating,B
20.0,30.0,calculating,B
21.0,5.45454545455,calculating,B
22.0,5.45454545455,calculating,B
23.0,30.0,calculating,B
24.0,30.0,calculating,B
25.0,30.0,calculating,B
26.0,30.0,calculating,B
27.0,30.0,calculating,B
28.0,30.0,calculating,B
29.0,30.0,calculating,B
30.0,30.0,calculating,B
31.0,30.0,calculating,B
32.0,30.0,calculating,B
33.0,30.0,calculating,B
34.0,5.45454545455,calculating,B
35.0,5.45454545455,calculating,B
36.0,30.0,calculating,B
37.0,30.0,calculating,B
38.0,30.0,calculating,B
39.0,30.0,calculating,B
40.0,30.0,calculating,B
41.0,30.0,calculating,B
42.0,30.0,calculating,B
43.0,30.0,calculating,B
44.0,30.0,calculating,B
45.0,30.0,calculating,B
46.0,30.0,calculating,B
47.0,5.45454545455,calculating,B
48.0,5.45454545455,calculating,B
49.0,30.0,calculating,B
50.0,30.0,calculating,B
51.0,30.0,calculating,B
52.0,30.0,calculating,B
53.0,30.0,calculating,B
54.0,30.0,calculating,B
55.0,30.0,calculating,B
56.0,30.0,calculating,B
57.0,30.0,calculating,B
58.0,30.0,calculating,B
59.0,30.0,calculating,B
60.0,5.45454545455,calculating,B
61.0,5.45454545455,calculating,B
62.0,30.0,calculating,B
63.0,30.0,calculating,B
64.0,30.0,calculating,B
65.0,30.0,calculating,B
66.0,30.0,calculating,B
67.0,30.0,calculating,B
68.0,30.0,calculating,B
69.0,30.0,calculating,B
70.0,30.0,calculating,B
71.0,30.0,calculating,B
72.0,30.0,calculating,B
73.0,5.45454545455,calculating,B
74.0,5.45454545455,calculating,B
75.0,30.0,calculating,B
76.0,30.0,calculating,B
77.0,30.0,calculating,B
78.0,30.0,calculating,B
79.0,30.0,calculating,B
80.0,30.0,calculating,B
81.0,30.0,calculating,B
82.0,30.0,calculating,B
83.0,30.0,calculating,B
84.0,30.0,calculating,B
85.0,30.0,calculating,B
86.0,5.45454545455,calculating,B
87.0,5.45454545455,calculating,B
88.0,30.0,calculating,B
89.0,30.0,calculating,B
90.0,30.0,calculating,B
91.0,30.0,calculating,B
92.0,30.0,calculating,B
93.0,30.0,calculating,B
94.0,30.0,calculating,B
95.0,30.0,calculating,B
96.0,30.0,calculating,B
97.0,30.0,calculating,B
98.0,30.0,calculating,B
99.0,5.45454545455,calculating,B
100.0,5.45454545455,calculating,B
101.0,30.0,calculating,B
102.0,30.0,calculating,B
103.0,30.0,calculating,B
104.0,30.0,calculating,B
105.0,30.0,calculating,B
106.0,30.0,calculating,B
107.0,30.0,calculating,B
108.0,30.0,calculating,B
109.0,30.0,calculating,B
110.0,30.0,calculating,B
111.0,30.0,calculating,B
112.0,5.45454545455,calculating,B
113.0,5.45454545455,calculating,B
114.0,30.0,calculating,B
115.0,30.0,calculating,B
116.0,30.0,calculating,B
117.0,30.0,calculating,B
118.0,30.0,calculating,B
119.0,30.0,calculating,B
120.0,30.0,calculating,B
121.0,30.0,calculating,B
122.0,30.0,24.6645916067,B
123.0,30.0,24.912525491,B
124.0,30.0,25.1604593753,B
125.0,5.45454545455,25.4083932596,B
126.0,5.45454545455,25.4534721477,B
127.0,30.0,25.4985510357,B
128.0,30.0,25.74648492,B
129.0,30.0,25.9944188043,B
130.0,30.0,26.171514436,B
131.0,30.0,26.3486100676,B
132.0,30.0,26.3486100676,B
133.0,30.0,26.3486100676,B
134.0,30.0,26.3486100676,B
135.0,30.0,26.3486100676,B
136.0,30.0,26.3486100676,B
137.0,30.0,26.3486100676,B
138.0,5.45454545455,26.3486100676,B
139.0,5.45454545455,26.1457550714,B
140.0,30.0,25.9429000751,B
141.0,30.0,25.9429000751,B
142.0,30.0,25.9429000751,B
143.0,30.0,26.1457550714,B
144.0,30.0,26.3486100676,B
145.0,30.0,26.3486100676,B
146.0,30.0,26.3486100676,B
147.0,30.0,26.3486100676,B
148.0,30.0,26.3486100676,B
149.0,30.0,26.3486100676,B
150.0,30.0,26.3486100676,B
151.0,5.45454545455,26.3486100676,B
152.0,5.45454545455,26.1457550714,B
153.0,30.0,25.9429000751,B
154.0,30.0,25.9429000751,B
155.0,30.0,25.9429000751,B
156.0,30.0,26.1457550714,B
157.0,30.0,26.3486100676,B
158.0,30.0,26.3486100676,B
159.0,30.0,26.3486100676,B
160.0,30.0,26.3486100676,B
161.0,30.0,26.3486100676,B
162.0,30.0,26.3486100676,B
163.0,30.0,26.3486100676,B
164.0,5.45454545455,26.3486100676,B
165.0,5.45454545455,26.1457550714,B
166.0,30.0,25.9429000751,B
167.0,30.0,25.9429000751,B
168.0,30.0,25.9429000751,B
169.0,30.0,26.1457550714,B
170.0,30.0,26.3486100676,B
171.0,30.0,26.3486100676,B
172.0,30.0,26.3486100676,B
173.0,30.0,26.3486100676,B
174.0,30.0,26.3486100676,B
175.0,30.0,26.3486100676,B
176.0,30.0,26.3486100676,B
177.0,5.45454545455,26.3486100676,B
178.0,5.45454545455,26.1457550714,B
179.0,30.0,25.9429000751,B
180.0,30.0,25.9429000751,B
181.0,30.0,25.9429000751,B
182.0,30.0,26.1457550714,B
183.0,30.0,26.3486100676,B
184.0,30.0,26.3486100676,B
185.0,30.0,26.3486100676,B
186.0,30.0,26.3486100676,B
187.0,30.0,26.3486100676,B
188.0,30.0,26.3486100676,B
189.0,30.0,26.3486100676,B
190.0,5.45454545455,26.3486100676,B
191.0,5.45454545455,26.1457550714,B
192.0,30.0,25.9429000751,B
193.0,30.0,25.9429000751,B
194.0,30.0,25.9429000751,B
195.0,30.0,26.1457550714,B
196.0,30.0,26.3486100676,B
197.0,30.0,26.3486100676,B
198.0,30.0,26.3486100676,B
199.0,30.0,26.3486100676,B
200.0,30.0,26.3486100676,B
201.0,30.0,26.3486100676,B
202.0,30.0,26.3486100676,B
203.0,5.45454545455,26.3486100676,B
204.0,5.45454545455,26.1457550714,B
205.0,30.0,25.9429000751,B
206.0,30.0,25.9429000751,B
207.0,30.0,25.9429000751,B
208.0,30.0,26.1457550714,B
209.0,30.0,26.3486100676,B
210.0,30.0,26.3486100676,B
211.0,30.0,26.3486100676,B
212.0,30.0,26.3486100676,B
213.0,30.0,26.3486100676,B
214.0,30.0,26.3486100676,B
215.0,30.0,26.3486100676,B
216.0,5.45454545455,26.3486100676,B
217.0,5.45454545455,26.1457550714,B
218.0,30.0,25.9429000751,B
219.0,30.0,25.9429000751,B
220.0,30.0,25.9429000751,B
221.0,30.0,26.1457550714,B
222.0,30.0,26.3486100676,B
223.0,30.0,26.3486100676,B
224.0,30.0,26.3486100676,B
225.0,30.0,26.3486100676,B
226.0,30.0,26.3486100676,B
227.0,30.0,26.3486100676,B
228.0,30.0,26.3486100676,B
229.0,5.45454545455,26.3486100676,B
230.0,5.45454545455,26.1457550714,B
231.0,30.0,25.9429000751,B
232.0,30.0,25.9429000751,B
233.0,30.0,25.9429000751,B
234.0,30.0,26.1457550714,B
235.0,30.0,26.3486100676,B
236.0,30.0,26.3486100676,B
237.0,30.0,26.3486100676,B
238.0,30.0,26.3486100676,B
239.0,30.0,26.3486100676,B
240.0,30.0,26.3486100676,B
241.0,30.0,26.3486100676,B
242.0,5.45454545455,26.3486100676,B
243.0,5.45454545455,26.1457550714,B
244.0,30.0,25.9429000751,B
245.0,30.0,25.9429000751,B
246.0,30.0,25.9429000751,B
247.0,30.0,26.1457550714,B
248.0,30.0,26.3486100676,B
249.0,30.0,26.3486100676,B
250.0,30.0,26.3486100676,B
251.0,30.0,26.3486100676,B
252.0,30.0,26.3486100676,B
253.0,30.0,26.3486100676,B
254.0,30.0,26.3486100676,B
255.0,5.45454545455,26.3486100676,B
256.0,5.45454545455,26.1457550714,B
257.0,30.0,25.9429000751,B
258.0,30.0,25.9429000751,B
259.0,30.0,25.9429000751,B
260.0,30.0,26.1457550714,B
261.0,30.0,26.3486100676,B
262.0,30.0,26.3486100676,B
263.0,30.0,26.3486100676,B
264.0,30.0,26.3486100676,B
265.0,30.0,26.3486100676,B
266.0,30.0,26.3486100676,B
267.0,30.0,26.3486100676,B
268.0,5.45454545455,26.3486100676,B
269.0,5.45454545455,26.1457550714,B
270.0,30.0,25.9429000751,B
271.0,30.0,25.9429000751,B
272.0,30.0,25.9429000751,B
273.0,30.0,26.1457550714,B
274.0,30.0,26.3486100676,B
275.0,30.0,26.3486100676,B
276.0,30.0,26.3486100676,B
277.0,30.0,26.3486100676,B
278.0,30.0,26.3486100676,B
279.0,30.0,26.3486100676,B
280.0,30.0,26.3486100676,B
281.0,5.45454545455,26.3486100676,B
282.0,5.45454545455,26.1457550714,B
283.0,30.0,25.9429000751,B
284.0,30.0,25.9429000751,B
285.0,30.0,25.9429000751,B
286.0,30.0,26.1457550714,B
287.0,30.0,26.3486100676,B
288.0,30.0,26.3486100676,B
289.0,30.0,26.3486100676,B
290.0,30.0,26.3486100676,B
291.0,30.0,26.3486100676,B
292.0,30.0,26.3486100676,B
293.0,30.0,26.3486100676,B
294.0,5.45454545455,26.3486100676,B
295.0,5.45454545455,26.1457550714,B
296.0,30.0,25.9429000751,B
297.0,30.0,25.9429000751,B
298.0,30.0,25.9429000751,B
299.0,30.0,26.1457550714,B
300.0,30.0,26.3486100676,B
301.0,30.0,26.3486100676,B
302.0,30.0,26.3486100676,B
303.0,30.0,26.3486100676,B
304.0,30.0,26.3486100676,B
305.0,30.0,26.3486100676,B
306.0,30.0,26.3486100676,B
307.0,5.45454545455,26.3486100676,B
308.0,5.45454545455,26.1457550714,B
309.0,30.0,25.9429000751,B
310.0,30.0,25.9429000751,B
311.0,30.0,25.9429000751,B
312.0,30.0,26.1457550714,B
313.0,30.0,26.3486100676,B
314.0,30.0,26.3486100676,B
315.0,30.0,26.3486100676,B
316.0,30.0,26.3486100676,B
317.0,30.0,26.3486100676,B
318.0,30.0,26.3486100676,B
319.0,30.0,26.3486100676,B
320.0,5.45454545455,26.3486100676,B
321.0,5.45454545455,26.1457550714,B
322.0,30.0,25.9429000751,B
323.0,30.0,25.9429000751,B
324.0,30.0,25.9429000751,B
325.0,30.0,26.1457550714,B
326.0,30.0,26.3486100676,B
327.0,30.0,26.3486100676,B
328.0,30.0,26.3486100676,B
329.0,30.0,26.3486100676,B
330.0,30.0,26.3486100676,B
331.0,30.0,26.3486100676,B
332.0,30.0,26.3486100676,B
333.0,5.45454545455,26.3486100676,B
334.0,5.45454545455,26.1457550714,B
335.0,30.0,25.9429000751,B
336.0,30.0,25.9429000751,B
337.0,30.0,25.9429000751,B
338.0,30.0,26.1457550714,B
339.0,30.0,26.3486100676,B
340.0,30.0,26.3486100676,B
341.0,30.0,26.3486100676,B
342.0,30.0,26.3486100676,B
343.0,30.0,26.3486100676,B
344.0,30.0,26.3486100676,B
345.0,30.0,26.3486100676,B
346.0,5.45454545455,26.3486100676,B
347.0,5.45454545455,26.1457550714,B
348.0,30.0,25.9429000751,B
349.0,30.0,25.9429000751,B
350.0,30.0,25.9429000751,B
351.0,30.0,26.1457550714,B
352.0,30.0,26.3486100676,B
353.0,30.0,26.3486100676,B
354.0,30.0,26.3486100676,B
355.0,30.0,26.3486100676,B
356.0,30.0,26.3486100676,B
357.0,30.0,26.3486100676,B
358.0,30.0,26.3486100676,B
359.0,5.45454545455,26.3486100676,B
360.0,5.45454545455,26.1457550714,B
361.0,30.0,25.9429000751,B
362.0,30.0,25.9429000751,B
363.0,30.0,25.9429000751,B
364.0,30.0,26.1457550714,B
365.0,30.0,26.3486100676,B
366.0,30.0,26.3486100676,B
367.0,30.0,26.3486100676,B
368.0,30.0,26.3486100676,B
369.0,30.0,26.3486100676,B
370.0,30.0,26.3486100676,B
371.0,30.0,26.3486100676,B
372.0,5.45454545455,26.3486100676,B
373.0,5.45454545455,26.1457550714,B
374.0,30.0,25.9429000751,B
375.0,30.0,25.9429000751,B
376.0,30.0,25.9429000751,B
377.0,30.0,26.1457550714,B
378.0,30.0,26.3486100676,B
379.0,30.0,26.3486100676,B
380.0,30.0,26.3486100676,B
381.0,30.0,26.3486100676,B
382.0,30.0,26.3486100676,B
383.0,30.0,26.3486100676,B
384.0,30.0,26.3486100676,B
385.0,5.45454545455,26.3486100676,B
386.0,5.45454545455,26.1457550714,B
387.0,30.0,25.9429000751,B
388.0,30.0,25.9429000751,B
389.0,30.0,25.9429000751,B
390.0,30.0,26.1457550714,B
391.0,30.0,26.3486100676,B
392.0,30.0,26.3486100676,B
393.0,30.0,26.3486100676,B
394.0,30.0,26.3486100676,B
395.0,30.0,26.3486100676,B
396.0,30.0,26.3486100676,B
397.0,30.0,26.3486100676,B
398.0,5.45454545455,26.3486100676,B
399.0,5.45454545455,26.1457550714,B
400.0,30.0,25.9429000751,B
401.0,30.0,25.9429000751,B
402.0,30.0,25.9429000751,B
403.0,30.0,26.1457550714,B
404.0,30.0,26.3486100676,B
405.0,30.0,26.3486100676,B
406.0,30.0,26.3486100676,B
407.0,30.0,26.3486100676,B
408.0,30.0,26.3486100676,B
409.0,30.0,26.3486100676,B
410.0,30.0,26.3486100676,B
411.0,5.45454545455,26.3486100676,B
412.0,5.45454545455,26.1457550714,B
413.0,30.0,25.9429000751,B
414.0,30.0,25.9429000751,B
415.0,30.0,25.9429000751,B
416.0,30.0,26.1457550714,B
417.0,30.0,26.3486100676,B
418.0,30.0,26.3486100676,B
419.0,30.0,26.3486100676,B
420.0,30.0,26.3486100676,B
421.0,30.0,26.3486100676,B
422.0,30.0,26.3486100676,B
423.0,30.0,26.3486100676,B
424.0,5.45454545455,26.3486100676,B
425.0,5.45454545455,26.1457550714,B
426.0,30.0,25.9429000751,B
427.0,30.0,25.9429000751,B
428.0,30.0,25.9429000751,B
429.0,30.0,26.1457550714,B
430.0,30.0,26.3486100676,B
431.0,30.0,26.3486100676,B
432.0,30.0,26.3486100676,B
433.0,30.0,26.3486100676,B
434.0,30.0,26.3486100676,B
435.0,30.0,26.3486100676,B
436.0,30.0,26.3486100676,B
437.0,5.45454545455,26.3486100676,B
438.0,5.45454545455,26.1457550714,B
439.0,30.0,25.9429000751,B
440.0,30.0,25.9429000751,B
441.0,30.0,25.9429000751,B
442.0,30.0,26.1457550714,B
443.0,30.0,26.3486100676,B
444.0,30.0,26.3486100676,B
445.0,30.0,26.3486100676,B
446.0,30.0,26.3486100676,B
447.0,30.0,26.3486100676,B
448.0,30.0,26.3486100676,B
449.0,30.0,26.3486100676,B
450.0,5.45454545455,26.3486100676,B
451.0,5.45454545455,26.1457550714,B
452.0,30.0,25.9429000751,B
453.0,30.0,25.9429000751,B
454.0,30.0,25.9429000751,B
455.0,30.0,26.1457550714,B
456.0,30.0,26.3486100676,B
457.0,30.0,26.3486100676,B
458.0,30.0,26.3486100676,B
459.0,30.0,26.3486100676,B
460.0,30.0,26.3486100676,B
461.0,30.0,26.3486100676,B
462.0,30.0,26.3486100676,B
463.0,5.45454545455,26.3486100676,B
464.0,5.45454545455,26.1457550714,B
465.0,30.0,25.9429000751,B
466.0,30.0,25.9429000751,B
467.0,30.0,25.9429000751,B
468.0,30.0,26.1457550714,B
469.0,30.0,26.3486100676,B
470.0,30.0,26.3486100676,B
471.0,30.0,26.3486100676,B
472.0,30.0,26.3486100676,B
473.0,30.0,26.3486100676,B
474.0,30.0,26.3486100676,B
475.0,30.0,26.3486100676,B
476.0,5.45454545455,26.3486100676,B
477.0,5.45454545455,26.1457550714,B
478.0,30.0,25.9429000751,B
479.0,30.0,25.9429000751,B
480.0,30.0,25.9429000751,B
481.0,30.0,26.1457550714,B
482.0,30.0,26.3486100676,B
483.0,30.0,26.3486100676,B
484.0,30.0,26.3486100676,B
485.0,30.0,26.3486100676,B
486.0,30.0,26.3486100676,B
487.0,30.0,26.3486100676,B
488.0,30.0,26.3486100676,B
489.0,5.45454545455,26.3486100676,B
490.0,5.45454545455,26.1457550714,B
491.0,30.0,25.9429000751,B
492.0,30.0,25.9429000751,B
493.0,30.0,25.9429000751,B
494.0,30.0,26.1457550714,B
495.0,30.0,26.3486100676,B
496.0,30.0,26.3486100676,B
497.0,30.0,26.3486100676,B
498.0,30.0,26.3486100676,B
499.0,30.0,26.3486100676,B
500.0,30.0,26.3486100676,B
501.0,30.0,26.3486100676,B
502.0,5.45454545455,26.3486100676,B
503.0,5.45454545455,26.1457550714,B
504.0,30.0,25.9429000751,B
505.0,30.0,25.9429000751,B
506.0,30.0,25.9429000751,B
507.0,30.0,26.1457550714,B
508.0,30.0,26.3486100676,B
509.0,30.0,26.3486100676,B
510.0,30.0,26.3486100676,B
511.0,30.0,26.3486100676,B
512.0,30.0,26.3486100676,B
513.0,30.0,26.3486100676,B
514.0,30.0,26.3486100676,B
515.0,5.45454545455,26.3486100676,B
516.0,5.45454545455,26.1457550714,B
517.0,30.0,25.9429000751,B
518.0,30.0,25.9429000751,B
519.0,30.0,25.9429000751,B
520.0,30.0,26.1457550714,B
521.0,30.0,26.3486100676,B
522.0,30.0,26.3486100676,B
523.0,30.0,26.3486100676,B
524.0,30.0,26.3486100676,B
525.0,30.0,26.3486100676,B
526.0,30.0,26.3486100676,B
527.0,30.0,26.3486100676,B
528.0,5.45454545455,26.3486100676,B
529.0,5.45454545455,26.1457550714,B
530.0,30.0,25.9429000751,B
531.0,30.0,25.9429000751,B
532.0,30.0,25.9429000751,B
533.0,30.0,26.1457550714,B
534.0,30.0,26.3486100676,B
535.0,30.0,26.3486100676,B
536.0,30.0,26.3486100676,B
537.0,30.0,26.3486100676,B
538.0,30.0,26.3486100676,B
539.0,30.0,26.3486100676,B
540.0,30.0,26.3486100676,B
541.0,5.45454545455,26.3486100676,B
542.0,5.45454545455,26.1457550714,B
543.0,30.0,25.9429000751,B
544.0,30.0,25.9429000751,B
545.0,30.0,25.9429000751,B
546.0,30.0,26.1457550714,B
547.0,30.0,26.3486100676,B
548.0,30.0,26.3486100676,B
549.0,30.0,26.3486100676,B
550.0,30.0,26.3486100676,B
551.0,30.0,26.3486100676,B
